Date,AAPL,AMZN,BAC,BRK-A,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ,WMT
2020-05-20,76.73733520507812,121.09300231933594,20.970951080322266,270330.0,118.16722106933594,70.48593139648438,209.72799682617188,122.22806549072266,81.78839874267578,293.18084716796875,230.39199829101562,172.4745330810547,8.68370246887207,96.2801284790039,146.21826171875,54.591331481933594,266.49676513671875,185.39552307128906,38.1317253112793,38.198055267333984
2020-05-27,78.33882141113281,123.62049865722656,21.454631805419922,278560.0,116.0178451538086,71.52435302734375,218.57623291015625,126.21698760986328,84.44298553466797,293.43218994140625,230.907958984375,176.1364288330078,8.790782928466797,101.46236419677734,156.65248107910156,58.770668029785156,276.81719970703125,188.40835571289062,39.6064338684082,38.22271728515625
2020-06-03,83.34188842773438,130.04299926757812,24.373979568481445,293955.0,121.03958892822266,72.00885009765625,222.07920837402344,124.26727294921875,94.35284423828125,301.06781005859375,236.81161499023438,180.79440307617188,9.010668754577637,101.7030029296875,156.02581787109375,62.711334228515625,279.4380187988281,191.01820373535156,40.63169860839844,37.42397689819336
2020-06-10,85.30192565917969,130.7635040283203,22.4392032623291,273480.0,115.71498107910156,71.73064422607422,217.4799346923828,122.99024200439453,87.11461639404297,294.2924499511719,233.81515502929688,184.38555908203125,9.037206649780273,101.52253723144531,160.3626251220703,65.47533416748047,264.7888488769531,185.06927490234375,39.97159194946289,36.89970779418945
2020-06-17,88.8028793334961,138.2205047607422,21.560768127441406,272700.0,113.90754699707031,72.59896087646484,217.79310607910156,121.62799835205078,83.58941650390625,296.6121520996094,240.35385131835938,192.32980346679688,9.417387962341309,101.17877197265625,171.87109375,66.78533172607422,268.94586181640625,189.95318603515625,38.581153869628906,37.33763122558594
2020-06-24,88.38373565673828,137.9409942626953,20.656240463256836,267300.0,108.94441223144531,70.3212890625,217.96713256835938,119.72945404052734,80.2861099243164,285.80621337890625,225.30197143554688,193.85386657714844,9.464974403381348,102.76008605957031,173.30345153808594,71.98733520507812,267.69903564453125,185.34756469726562,38.714576721191406,36.939788818359375
2020-07-01,90.29532623291016,150.00599670410156,20.01263999938965,271640.0,111.0156478881836,73.88533782958984,215.21766662597656,121.61951446533203,78.80094909667969,289.8753967285156,238.98458862304688,198.3689727783203,9.83768367767334,105.03752136230469,176.3372344970703,92.65733337402344,269.24200439453125,186.33584594726562,38.65138244628906,39.1510009765625
2020-07-08,94.06037139892578,154.1999969482422,20.99543571472168,284780.0,115.92991638183594,75.4196548461914,224.3014373779297,125.93599700927734,84.64527130126953,288.9474792480469,237.8633575439453,198.46424865722656,10.34118938446045,107.50405883789062,171.3837127685547,101.12000274658203,280.0152893066406,185.50103759765625,38.932273864746094,40.711490631103516
2020-07-15,94.0046157836914,156.9145050048828,21.238967895507812,288201.0,115.89083099365234,77.15829467773438,228.3300018310547,127.48550415039062,85.67953491210938,297.70513916015625,239.86764526367188,198.8452606201172,10.292855262756348,107.48686218261719,174.64627075195312,104.55733489990234,276.9203186035156,188.52352905273438,39.653533935546875,40.81017303466797
2020-07-22,90.37284851074219,150.01649475097656,21.186782836914062,290940.0,113.50697326660156,74.56620788574219,230.81845092773438,125.00796508789062,83.87820434570312,296.4759521484375,228.32818603515625,192.4346160888672,10.180246353149414,109.90182495117188,175.3325958251953,98.43267059326172,272.2189636230469,188.7729949951172,40.81814193725586,40.63439178466797
2020-07-29,106.27853393554688,156.94149780273438,21.752107620239258,300330.0,114.59144592285156,73.06114959716797,233.07196044921875,125.34002685546875,82.35269927978516,304.2767333984375,247.88473510742188,203.16989135742188,11.189005851745605,115.7065200805664,196.2805938720703,99.13333129882812,276.36669921875,184.50318908691406,41.12349319458008,40.597381591796875
2020-08-05,105.99748992919922,154.0334930419922,23.413307189941406,319380.0,127.48773193359375,73.42018127441406,239.20614624023438,125.1272201538086,89.48043060302734,317.971435546875,254.1356964111328,193.73008728027344,10.812557220458984,115.22220611572266,188.02474975585938,91.6259994506836,286.395751953125,189.76126098632812,41.549564361572266,40.153289794921875
2020-08-12,112.19585418701172,165.62449645996094,22.204376220703125,313419.0,125.95386505126953,77.1513442993164,247.9766845703125,127.78347778320312,84.74008178710938,320.3524475097656,260.29730224609375,201.45529174804688,12.218438148498535,118.05886840820312,193.5352783203125,125.80599975585938,287.53936767578125,190.9510498046875,42.02536392211914,41.544166564941406
2020-08-19,121.18849182128906,167.32449340820312,22.6131534576416,319970.0,126.80384063720703,79.63431549072266,248.9599151611328,129.460693359375,86.61900329589844,336.4764404296875,278.6333923339844,206.198974609375,12.706001281738281,120.26422882080078,200.59751892089844,134.8893280029297,283.3734436035156,199.97483825683594,42.19578552246094,40.45152282714844
2020-08-26,130.27093505859375,174.95599365234375,22.360925674438477,327440.0,130.4773406982422,82.07565307617188,248.79461669921875,129.85955810546875,86.30872344970703,345.4193420410156,293.13958740234375,217.0098419189453,13.773303985595703,119.50313568115234,207.81890869140625,158.35000610351562,283.9270935058594,205.01983642578125,42.01116180419922,45.70344161987305
2020-09-02,109.53325653076172,157.49200439453125,22.160888671875,327200.0,131.1123809814453,75.55552673339844,234.28138732910156,126.2085189819336,86.11908721923828,319.2684326171875,269.04864501953125,193.5109100341797,11.875442504882812,117.5659408569336,184.9611053466797,110.06999969482422,278.8625793457031,192.306396484375,42.579254150390625,42.87309265136719
2020-09-09,112.17398834228516,157.80650329589844,22.14010238647461,328804.0,128.22048950195312,76.12680053710938,249.79173278808594,127.60552978515625,85.56748962402344,328.23052978515625,270.29888916015625,199.35459899902344,12.950043678283691,119.89232635498047,185.03076171875,149.9199981689453,278.8444519042969,197.37062072753906,43.033729553222656,42.53556823730469
2020-09-16,108.55268096923828,156.44949340820312,20.966537475585938,320601.0,124.283203125,72.39266967773438,239.05935668945312,123.59455871582031,81.24946594238281,324.52374267578125,252.7664337158203,198.05596923828125,12.597905158996582,119.3128890991211,186.78138732910156,141.41000366210938,268.1733093261719,192.7291717529297,42.479835510253906,42.829742431640625
2020-09-23,110.7662582397461,157.24400329589844,20.817646026611328,315891.0,122.51483917236328,72.70014190673828,238.00973510742188,126.03713989257812,82.1803207397461,325.4141540527344,259.75164794921875,197.9031982421875,13.184052467346191,118.7074966430664,193.4656524658203,139.69000244140625,277.1865539550781,191.65293884277344,42.067970275878906,42.46743392944336
2020-09-30,109.86333465576172,154.9980010986328,21.34312629699707,315350.0,118.14768981933594,71.95629119873047,241.82339477539062,125.35148620605469,84.48151397705078,326.5755615234375,256.6459655761719,196.61415100097656,13.693192481994629,120.73985290527344,190.6407470703125,137.9933319091797,286.5733947753906,192.62351989746094,42.224185943603516,43.54816436767578
